Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer,Rating,Critic_Score
PS3,2013,Racing,Deep Silver,0.02,0.01,0,0.01,0.04,"Eutechnyx, Deep Silver",M,13
PS3,2009,Adventure,Codemasters,0.06,0.03,0,0.01,0.1,Team 17,M,17
XB,2002,Misc,Infogrames,0.16,0.05,0,0.01,0.22,Data Design Interactive,E,19
DS,2007,Action,Zoo Digital Publishing,0.13,0,0,0.01,0.14,FrontLine Studios,E10+,19
PS4,2015,Sports,Bigben Interactive,0.04,0.06,0,0.02,0.11,HB Studios Multimedia,E,19
Wii,2007,Platform,Metro 3D,0.06,0,0,0,0.07,Data Design Interactive,E,19
X360,2013,Racing,Deep Silver,0.04,0.01,0,0.01,0.06,"Eutechnyx, Deep Silver",M,19
Wii,2007,Sports,Zoo Digital Publishing,0.02,0,0,0,0.02,Black Lantern Studios,E10+,19
DS,2007,Misc,Mindscape,1.15,0.4,0,0.15,1.7,Artefacts Studio,E,20
XOne,2015,Sports,Bigben Interactive,0.03,0.05,0,0.01,0.09,HB Studios Multimedia,E,20
Wii,2007,Action,Popcorn Arcade,0.07,0,0,0.01,0.08,Data Design Interactive,E,20
X360,2011,Sports,Ubisoft,0.08,0.03,0,0.01,0.12,Ubisoft,T,21
XOne,2013,Fighting,Ubisoft,0.11,0.07,0,0.02,0.19,Ubisoft,T,23
DS,2008,Racing,Destineer,0.07,0,0,0.01,0.07,Webfoot Technologies,E,23
GC,2003,Action,Ubisoft,0.01,0,0,0,0.02,Neko Entertainment,T,23
GBA,2004,Racing,XS Games,0.01,0,0,0,0.01,Pronto Games,E,23
WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0,0.01,0.13,"Phosphor Games Studio, LLC",E,24
PS2,2002,Sports,Midway Games,0.05,0.04,0,0.01,0.1,Midway,T,24
GBA,2002,Fighting,Acclaim Entertainment,0.05,0.02,0,0,0.07,Powerhead Games,E,24
XB,2003,Racing,Jaleco,0.01,0,0,0,0.02,Jaleco Entertainment,E,24
